county_fips,DEMOCRAT,REPUBLICAN,TOTAL,dem_percent,rep_percent,dem_lead,dem_percentage_pts_lead
01115,7744.0,36166.0,44441,17.425350464661012,81.37980693503746,-28422.0,-63.954456470376456
01117,33268.0,79700.0,114950,28.941278816876903,69.33449325793823,-46432.0,-40.39321444106133
01119,4648.0,1598.0,6291,73.88332538547131,25.40136703226832,3050.0,48.48195835320299
01121,13138.0,22235.0,35663,36.83930123657572,62.3475310545944,-9097.0,-25.508229818018677
01123,5859.0,14963.0,20991,27.91196226954409,71.28293077985803,-9104.0,-43.37096851031394
01125,37765.0,51117.0,90172,41.88107172958346,56.68832897129929,-13352.0,-14.807257241715831
01127,4834.0,26002.0,31170,15.508501764517163,83.41995508501765,-21168.0,-67.91145332050048
01129,2258.0,6564.0,8876,25.4393871113114,73.95223073456512,-4306.0,-48.512843623253715
01131,4048.0,1833.0,5903,68.57530069456209,31.05200745383703,2215.0,37.52329324072505
01133,974.0,10195.0,11284,8.631690889755406,90.34916696207019,-9221.0,-81.71747607231478
02001,3477.0,3511.0,7314,47.53896636587367,48.00382827454197,-34.0,-0.4648619086683041
02002,2104.0,3674.0,6136,34.289439374185136,59.876140808344196,-1570.0,-25.58670143415906
02003,1903.0,6076.0,8385,22.695289206917113,72.46273106738224,-4173.0,-49.76744186046513
02004,5345.0,4690.0,10511,50.85148891637332,44.61992198649035,655.0,6.231566929882973
02005,4204.0,4077.0,8654,48.57869193436561,47.11116246822279,127.0,1.467529466142821
02006,3272.0,5770.0,9460,34.5877378435518,60.99365750528541,-2498.0,-26.405919661733613
02007,2215.0,7027.0,9622,23.020162128455624,73.03055497817502,-4812.0,-50.010392849719395
02008,1953.0,7618.0,9912,19.703389830508474,76.85633575464084,-5665.0,-57.15294592413237
02009,2769.0,7787.0,10993,25.188756481397252,70.8359865368871,-5018.0,-45.64723005548986
02010,2727.0,8081.0,11205,24.337349397590362,72.11958946898706,-5354.0,-47.7822400713967
02011,3130.0,7096.0,10628,29.450508091832894,66.76703048550998,-3966.0,-37.31652239367708
